base,catalyst,temperature,solvent,dehalogenation_pdt,hydrolyis_pdt,desired_pdt,priority
K3PO4,XantPhos Pd G4,80.0,NMP,PENDING,PENDING,PENDING,1.0
K3PO4,RuPhos Pd G4,120.0,THF,PENDING,PENDING,PENDING,1.0
K3PO4,RuPhos Pd G4,80.0,dioxane,PENDING,PENDING,PENDING,1.0
Cs2CO3,XantPhos Pd G4,120.0,toluene,PENDING,PENDING,PENDING,1.0
Cs2CO3,JackiePhos Pd G3,120.0,toluene,PENDING,PENDING,PENDING,1.0
K3PO4,XantPhos Pd G4,120.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,120.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,120.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,120.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,100.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,100.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,100.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,100.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,80.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,80.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,XantPhos Pd G4,80.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,120.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,120.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,120.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,120.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,100.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,100.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,100.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,80.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,80.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,80.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,XPhos Pd G3,80.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,120.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,120.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,120.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,100.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,100.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,100.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,80.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,80.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,RuPhos Pd G4,80.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,dioxane,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,THF,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,120.0,NMP,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,100.0,toluene,PENDING,PENDING,PENDING,0.0
K3PO4,JackiePhos Pd G3,100.0,dioxane,PENDING,PENDING,PENDING,0.0
